# Pathway	G45057_Abundance	G45068_Abundance	G45071_Abundance	G45075_Abundance	G45092_Abundance	G45099_Abundance	G45108_Abundance	G45117_Abundance	G45123_Abundance	G45226_Abundance	G45227_Abundance	G45250_Abundance
ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation	0	0	0	0	0	0	0	0	0	0	2.57368	0
ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation|g__Escherichia.s__Escherichia_coli	0	0	0	0	0	0	0	0	0	0	2.11209	0
ORNDEG-PWY: superpathway of ornithine degradation	0	0	0	0	0	0.740466	0	0	0	0	5.77459	0
ORNDEG-PWY: superpathway of ornithine degradation|g__Escherichia.s__Escherichia_coli	0	0	0	0	0	0	0	0	0	0	3.82454	0
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)	0	19.0273	0	0	0	2.85889	0	63.5077	27.9152	0	17.3061	0
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)|g__Escherichia.s__Escherichia_coli	0	2.27356	0	0	0	0.442331	0	45.6659	10.427	0	8.99033	0
P108-PWY: pyruvate fermentation to propanoate I	0.698787	9.20496	0.880697	3.8421	0	23.491	8.23451	9.05848	21.019	2.15629	6.78758	1.53483
P122-PWY: heterolactic fermentation	1.04596	2.19373	5.92796	0	0	1.12322	0	0.616331	33.8514	8.34648	34.4783	23.4674
P124-PWY: Bifidobacterium shunt	0	0	5.3426	2.37073	0	0	0	0	7.67348	0	5.09472	0
P124-PWY: Bifidobacterium shunt|unclassified	0	0	5.13744	2.19896	0	0	0	0	0	0	4.63357	0
P125-PWY: superpathway of (R,R)-butanediol biosynthesis	2.06189	1.60912	0	0	0	0	0	0	0	0	7.44008	7.40789
P125-PWY: superpathway of (R,R)-butanediol biosynthesis|g__Lactococcus.s__Lactococcus_lactis	1.03891	1.4538	0	0	0	0	0	0	0	0	5.36626	6.77862
P161-PWY: acetylene degradation	9.90069	9.66875	12.0425	1.35076	13.96	13.5882	3.91138	54.1846	15.6993	20.4157	33.9367	13.9367
P161-PWY: acetylene degradation|g__Lactococcus.s__Lactococcus_lactis	1.80903	0	0	0	0	0	0	0	0	0	0	0
P161-PWY: acetylene degradation|unclassified	0.753819	1.24912	2.22051	1.29708	1.6373	4.29407	2.67471	0	1.90248	6.2739	3.74522	4.82131
P162-PWY: L-glutamate degradation V (via hydroxyglutarate)	0	0	19.6188	8.07394	5.30872	14.0006	0	0	3.3769	10.892	3.72207	0
P162-PWY: L-glutamate degradation V (via hydroxyglutarate)|unclassified	0	0	4.28816	0	0	0	0	0	0	1.69826	2.24258	0
P164-PWY: purine nucleobases degradation I (anaerobic)	8.55658	24.7185	15.5662	8.14317	9.09449	4.04762	0	14.1699	49.2588	8.90604	6.45725	20.9093
P164-PWY: purine nucleobases degradation I (anaerobic)|unclassified	0	0	10.4283	0	0	0	0	7.00341	8.04396	0	0	1.94843
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)	7.00512	18.5713	22.0094	18.765	1.81023	19.2415	39.2898	7.34524	41.7456	38.1259	64.3083	45.064
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)|unclassified	0	0	0	0	0	0	2.85523	0	0	0	4.0529	0
P23-PWY: reductive TCA cycle I	0	0	0	0	0	0	0	0.60843	0.326791	3.60136	0.281325	0
P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	15.0273	103.044	66.3569	151.84	50.4514	157.663	99.3958	109.359	127.165	138.895	118.854	111.276
P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I|g__Escherichia.s__Escherichia_coli	0	1.11667	0	0	0	0	0	8.7314	2.38745	0	2.99494	0
P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I|unclassified	8.81995	0	0	0	0	0	6.25129	7.2744	3.88175	9.07781	0	3.53715
P42-PWY: incomplete reductive TCA cycle	0.849295	121.828	72.6275	70.3719	47.3494	58.7576	79.5009	63.0058	62.9977	63.5211	73.2996	77.5321
P42-PWY: incomplete reductive TCA cycle|unclassified	0	0	5.86744	4.59864	0	0	2.15934	0	0	0	0	3.98554
P441-PWY: superpathway of N-acetylneuraminate degradation	34.7899	34.2945	34.1913	20.657	38.4852	31.5732	22.4178	98.8298	59.4755	53.3706	104.391	44.1234
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate	12.9342	17.425	53.9006	51.8141	23.4468	48.1678	30.4709	69.2888	93.0872	56.8571	101.572	53.0756
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate|g__Anaerostipes.s__Anaerostipes_hadrus	0	2.12459	16.9421	12.5259	0	15.2699	6.86631	3.97662	0	12.7148	18.6776	9.70793
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate|g__Escherichia.s__Escherichia_coli	0	3.30178	0	0	0	0	0	46.0529	10.1083	0	9.765	0
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA	0	3.95422	16.074	13.5605	7.47551	10.1834	7.43787	2.07951	37.116	20.2475	28.3605	11.9929
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate|g__Lactobacillus.s__Lactobacillus_casei_paracasei	0	0.864709	0	0	0	0	0	0	0	0	0	0
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate|g__Raoultella.s__Raoultella_ornithinolytica	0	0	0	0	0	0	0	0	0	0	1.52995	0
P562-PWY: myo-inositol degradation I	0	0	0	0	0	0	0	0	0	0	2.0971	0
PANTO-PWY: phosphopantothenate biosynthesis I	445.687	404.484	365.175	469.488	452.778	266.2	404.365	431.465	359.319	335.065	355.296	410.662
PANTO-PWY: phosphopantothenate biosynthesis I|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	0	1.46138	0	0	0.496616	0	0	0	0	0	1.86271	0.816941
PANTO-PWY: phosphopantothenate biosynthesis I|g__Akkermansia.s__Akkermansia_muciniphila	0	4.68702	0	2.5164	0	32.6318	0	0	0	0	0	0.762293
PANTO-PWY: phosphopantothenate biosynthesis I|g__Alistipes.s__Alistipes_finegoldii	0	0	0	0	1.6447	0	0	0	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Alistipes.s__Alistipes_indistinctus	0	0.638405	0	0	0	0	0	0	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Alistipes.s__Alistipes_putredinis	0	17.856	0	0	9.27672	4.91377	32.819	0	0	5.54041	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Alistipes.s__Alistipes_sp_HGB5	8.94634	0	0	0	0	0	0	0	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Anaerostipes.s__Anaerostipes_hadrus	0	1.99188	9.12217	7.47534	0	6.85859	4.07657	1.31298	0	14.8019	13.9537	6.95257
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_caccae	0	20.9854	8.68711	0	16.5388	0	1.28995	0	0	9.17421	10.3138	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_cellulosilyticus	7.54145	0	0	0	0	13.4344	15.9701	0	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_clarus	0	0	0	0	0	0	0	0	0	5.66003	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_coprocola	0	0	0	0	0	0	0	0	0	0.440987	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_dorei	95.2208	35.5933	59.4385	0.464501	2.61296	25.961	86.6836	0	0	42.2036	40.4555	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_faecis	0	0	22.7184	23.7098	0	0	10.2156	0	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_finegoldii	0	0	0	0	0	0	0	59.202	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_fragilis	23.3262	0.556947	4.46653	1.38738	1.13746	3.26912	1.56475	0	0	5.92976	0	4.43534
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_ovatus	148.377	12.7366	48.5185	18.011	74.6777	6.17763	14.8289	0	0	12.6091	11.3652	12.8254
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_plebeius	0	0	0	71.4182	0	0	0	0	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_salyersiae	0	0	0	0	0	0	7.59588	0	0	4.56931	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_stercoris	0	20.2176	0	0	0	0	0	0	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_thetaiotaomicron	0	5.80301	0	0	4.71036	0	0	0	0	5.75802	2.8523	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_uniformis	0	52.241	14.3564	56.2878	0	37.839	29.4545	113.354	122.33	12.2066	25.5912	53.2574
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_vulgatus	37.7609	16.0611	19.6219	97.8333	179.864	8.06898	0	139.357	0	16.8654	1.01033	22.2796
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_xylanisolvens	0	4.64317	0	4.00504	0	0	0	0	0	1.40963	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Barnesiella.s__Barnesiella_intestinihominis	0	12.9376	0	0	0	0	9.23937	0	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bilophila.s__Bilophila_wadsworthia	0	3.07122	0	0	0	0	5.2663	0	1.07353	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Blautia.s__Ruminococcus_gnavus	5.84657	0	4.57454	0.785295	0	1.51058	0	1.39005	3.70582	1.80622	3.64754	0.77479
PANTO-PWY: phosphopantothenate biosynthesis I|g__Blautia.s__Ruminococcus_torques	0.587683	2.5619	6.63511	11.8111	1.29614	0	3.3451	0	4.6542	3.21299	3.0299	0.772212
PANTO-PWY: phosphopantothenate biosynthesis I|g__Burkholderiales_noname.s__Burkholderiales_bacterium_1_1_47	1.18387	1.96389	0	0	0	0	0	0	1.44139	0	0	0.259422
PANTO-PWY: phosphopantothenate biosynthesis I|g__Coprococcus.s__Coprococcus_eutactus	0	15.0809	0	0	0.957622	0	0	0	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Coprococcus.s__Coprococcus_sp_ART55_1	0	0	0	0	0	0	0	0	0	0	0	16.5586
PANTO-PWY: phosphopantothenate biosynthesis I|g__Dorea.s__Dorea_longicatena	0	1.14694	0	1.8845	0	0	2.29437	0	0	0.322704	29.8687	7.4436
PANTO-PWY: phosphopantothenate biosynthesis I|g__Eggerthella.s__Eggerthella_lenta	2.23972	0	3.4132	1.52171	0.362285	1.70574	0	0.587887	0	0	3.14025	1.55944
PANTO-PWY: phosphopantothenate biosynthesis I|g__Escherichia.s__Escherichia_coli	0	1.4166	0	0	0	0	0	32.9726	7.58461	0	6.78102	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Eubacterium.s__Eubacterium_hallii	0	0	0	2.17983	1.72675	0	0	0	0.987646	0.615146	7.82398	4.47413
PANTO-PWY: phosphopantothenate biosynthesis I|g__Eubacterium.s__Eubacterium_ramulus	0	0	0	0	0	0	0	0	0	0	1.76043	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Eubacterium.s__Eubacterium_rectale	0	8.07602	0	5.42283	0	0	55.7592	0	17.5944	0	0	158.169
PANTO-PWY: phosphopantothenate biosynthesis I|g__Eubacterium.s__Eubacterium_ventriosum	0	0	0	1.18097	0.905753	0	1.45939	0	0	0	1.85914	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_1_1_57FAA	0	1.20861	0	0	0	0	0	0	0	0	0	0.778286
PANTO-PWY: phosphopantothenate biosynthesis I|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_2_1_58FAA	0	0	0	1.03531	0	1.503	0	1.89905	0	2.66244	0	0.83242
PANTO-PWY: phosphopantothenate biosynthesis I|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_3_1_46FAA	0	1.1492	0	0	0	0	0	0	5.02857	2.15747	3.1622	0.486238
PANTO-PWY: phosphopantothenate biosynthesis I|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA	0	2.58841	10.9773	5.82915	3.91517	5.32528	3.91879	2.43005	18.7083	10.6838	14.756	7.4206
PANTO-PWY: phosphopantothenate biosynthesis I|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_8_1_57FAA	0	0	0	0.633531	0	0	0	0	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Odoribacter.s__Odoribacter_splanchnicus	0	0	2.44288	0	0	1.0538	0	0	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Parabacteroides.s__Parabacteroides_distasonis	20.6921	6.98809	0	3.48023	10.6023	3.49798	4.26524	13.8113	0	2.88257	2.51515	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Parabacteroides.s__Parabacteroides_goldsteinii	0	0	2.0434	0	0	0	0.533103	0	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Parabacteroides.s__Parabacteroides_merdae	0	0	0	1.33136	0	0	9.7572	0	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Parasutterella.s__Parasutterella_excrementihominis	2.67797	2.83286	0	0	1.01507	0.309752	0	0	3.80564	0	0.424795	0.677692
PANTO-PWY: phosphopantothenate biosynthesis I|g__Raoultella.s__Raoultella_ornithinolytica	0	0	0	0	0	0	0	0	0	0	1.61185	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Roseburia.s__Roseburia_hominis	0	0	0	3.38593	0.338151	0	0.645957	0	3.08699	0	0	1.28033
PANTO-PWY: phosphopantothenate biosynthesis I|g__Roseburia.s__Roseburia_intestinalis	0	1.54253	0	0	0	0	1.27971	0	40.1716	0	0.537422	21.4836
PANTO-PWY: phosphopantothenate biosynthesis I|g__Ruminococcus.s__Ruminococcus_callidus	0	5.48735	0	0.380265	0	0	0	0	0	0.384527	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Ruminococcus.s__Ruminococcus_lactaris	0	2.68949	0	0	1.67566	0	0	0	0	0	0	0.653486
PANTO-PWY: phosphopantothenate biosynthesis I|g__Ruminococcus.s__Ruminococcus_sp_5_1_39BFAA	0	5.80928	0	0	5.07339	0	7.51671	0	0	0	1.24504	11.2488
PANTO-PWY: phosphopantothenate biosynthesis I|unclassified	36.8747	67.7928	82.8367	56.3848	82.8038	32.8134	31.4132	15.3074	54.1876	116.364	74.6777	56.8497
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I	370.42	242.892	335.114	301.16	263.514	256.548	204.364	152.044	321.138	220.295	277.471	307.254
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|g__Akkermansia.s__Akkermansia_muciniphila	0	3.49882	0	1.62722	0	29.9468	0	0	0	0	0	0.654009
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|g__Anaerostipes.s__Anaerostipes_hadrus	0	1.43754	6.83113	6.16047	0	5.45001	2.34017	1.12572	0	6.99615	11.8787	4.96729
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|g__Bacteroides.s__Bacteroides_ovatus	141.595	18.5839	43.2704	17.9991	71.4955	6.93122	14.316	0	0	8.62034	11.5772	10.4461
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|g__Bacteroides.s__Bacteroides_xylanisolvens	0	2.90168	0	3.8108	0	0	0	0	0	0	0	0
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|g__Blautia.s__Ruminococcus_torques	0	1.36786	0	3.00154	1.48695	0	0.841395	0	0	0	0	0
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|g__Eggerthella.s__Eggerthella_lenta	0	0	1.95816	0	0	0.724836	0	0.497021	0	0	1.51709	1.07371
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|g__Escherichia.s__Escherichia_coli	0	0.932529	0	0	0	0	0	16.3031	3.73077	0	4.06228	0
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|g__Eubacterium.s__Eubacterium_ventriosum	0	0	0	0	0	0	0	0	0	0	2.03134	0
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA	0	0	7.10189	6.17544	2.0936	5.07191	2.42107	1.34872	17.1831	8.00595	12.769	5.12854
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|g__Odoribacter.s__Odoribacter_splanchnicus	0	0	2.62906	0	0	0	0	0	0	0	0	0
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|unclassified	11.3986	40.675	27.6664	38.6478	11.9745	16.877	22.7793	7.42427	21.1583	10.5717	38.4826	38.096
PENTOSE-P-PWY: pentose phosphate pathway	25.0169	57.3289	65.1249	94.8324	40.7051	8.1604	14.2046	78.5024	132.015	95.0341	62.0997	82.2445
PENTOSE-P-PWY: pentose phosphate pathway|g__Escherichia.s__Escherichia_coli	0	0	0	0	0	0	0	1.49121	0	0	1.73178	0
PENTOSE-P-PWY: pentose phosphate pathway|g__Odoribacter.s__Odoribacter_splanchnicus	0	0	1.40634	0	0	0.69398	0	0	0	0	0	0
PENTOSE-P-PWY: pentose phosphate pathway|unclassified	0	0	4.35783	0	0	0	0	0	0	0	7.13545	8.89595
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	541.926	575.775	569.49	560.236	473.915	481.223	585.747	439.61	515.165	677.246	518.879	552.908
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	0	0	0	0	0	0	0	0	0	0	0.435161	0.449747
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Alistipes.s__Alistipes_finegoldii	0	0	0	0	2.94488	0	0	0	0	0	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Alistipes.s__Alistipes_indistinctus	0	1.09633	0	0	0	0	0	0	0	0	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Alistipes.s__Alistipes_onderdonkii	0	0	0	0	11.0765	5.43243	25.7237	0	20.1991	0	0	0.382981
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Alistipes.s__Alistipes_putredinis	0	17.0175	0	0	9.22989	3.73814	31.3792	0	0	5.55241	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Anaerostipes.s__Anaerostipes_hadrus	0	1.65024	9.55317	7.65245	0	6.95251	4.33197	2.11676	0	12.4997	14.0588	6.53703
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Anaerotruncus.s__Anaerotruncus_colihominis	0	0	0	0	0	0.438159	0	0	0	0	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_dorei	89.7178	35.6373	63.6796	0.884135	0.734335	16.8646	85.8643	0	0	37.5234	33.2093	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_finegoldii	0	0	0	0	0	0	0	65.2	0	0	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_fragilis	28.1929	0.367602	5.48881	1.48103	1.76022	3.4984	2.33283	0	0	6.17292	0	6.15845
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_ovatus	146.599	33.582	0	1.21197	74.6581	5.71054	8.23344	0	0	19.4004	11.631	8.80665
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_plebeius	0	0	0	68.3518	0	0	0	0	0	0	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_salyersiae	0	0	0	0	0	0	7.98696	0	0	4.52247	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_uniformis	0	46.5629	15.929	51.8078	0	36.5139	32.8264	118.902	124.543	13.6631	29.6415	57.8811
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_vulgatus	30.22	16.0933	26.8168	87.9392	81.4292	9.87565	0	144.713	0	22.574	1.14889	24.4364
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_xylanisolvens	0	1.48788	0	2.19297	0	0	0	0	0	0	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Barnesiella.s__Barnesiella_intestinihominis	0	11.6858	0	0	0	0	9.34823	0	0	0	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Bifidobacterium.s__Bifidobacterium_adolescentis	0	7.40228	0	17.7097	0	0	3.79108	0	0	26.308	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Bifidobacterium.s__Bifidobacterium_catenulatum	0	0	0	18.4356	1.94185	0	0	0	0	0	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Bilophila.s__Bilophila_wadsworthia	0	2.56014	0	0	0	0	5.15041	0	1.64734	0	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Blautia.s__Ruminococcus_gnavus	10.8896	0	3.39918	1.45746	0	3.26057	0	2.713	5.00274	2.38374	5.80942	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Blautia.s__Ruminococcus_obeum	0	1.32902	0	0	0	0	0	0	0	0	0	3.55874
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Blautia.s__Ruminococcus_torques	0	2.59303	6.04449	11.0741	2.81054	0	3.06359	0	3.37864	4.08463	1.37681	0.644692
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Burkholderiales_noname.s__Burkholderiales_bacterium_1_1_47	0.969004	2.49432	0	0	1.24309	0	0	0	3.88538	0	0.308254	0.48934
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Butyricicoccus.s__Butyricicoccus_pullicaecorum	0	0	0	0	0	0	0	0.330834	0	0	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Clostridium.s__Clostridium_hathewayi	0	0	1.52213	0	0	0	0	0	0	0	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Clostridium.s__Clostridium_leptum	0	0	0	0	0	1.73201	0	0	0	0	10.4547	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Clostridium.s__Clostridium_nexile	12.2244	0	0	0	0	0	0	0	0	0	3.76726	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Clostridium.s__Clostridium_sp_KLE_1755	0	0	0	0	0	0	0	2.6412	3.60252	0	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Collinsella.s__Collinsella_aerofaciens	0	3.83831	0	0	2.505	0	6.62115	0	0	3.08468	8.28097	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Coprococcus.s__Coprococcus_comes	0	2.30357	0	0	0	0	0.598437	0	0	0	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Coprococcus.s__Coprococcus_eutactus	0	17.0716	0	0	0.441971	0	0	0	0	0	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Dorea.s__Dorea_formicigenerans	0	0.510924	0	0	0	0	0.563961	0	0	0	4.75568	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Eggerthella.s__Eggerthella_lenta	0.885868	0	1.78975	0.558529	0	1.07422	0	0.659783	0	0	1.75742	1.29773
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Erysipelotrichaceae_noname.s__Erysipelotrichaceae_bacterium_21_3	0	0	0.269918	0	0	0	0	0	0	0	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Erysipelotrichaceae_noname.s__Eubacterium_biforme	0	0	0	0	0	0	0	0	8.49274	0	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Escherichia.s__Escherichia_coli	0	1.64974	0	0	0	0	0	25.3988	5.61223	0	5.28629	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Eubacterium.s__Eubacterium_ramulus	0	0	0	0	0	0	0	0	0	0	2.02291	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Eubacterium.s__Eubacterium_sp_3_1_31	0	0	0	0	0	0	0	0	1.90965	0	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Eubacterium.s__Eubacterium_ventriosum	0	0	0	0.499821	0.495589	0	1.80297	0	0	0	2.04727	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	75.0005	31.0949	142.117	67.9401	33.1569	146.032	35.3447	37.7341	109.385	34.351	62.0036	62.0127
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Flavonifractor.s__Flavonifractor_plautii	3.1721	0.652724	0	0	1.2425	4.18632	0.684616	0.918446	1.04698	4.93788	2.93092	1.48293
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0.727892	0	0	0	0	0	13.5531	0.702786	0	0
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_1_1_57FAA	0	0.95812	0	0	0	0	0	0	0	0	0	0.672899
